	theoretical	methodological	cross	rao_stirling_theoretical	rao_stirling_methodological	rao_stirling_cross	publication_year
0	[]	['A20', 'C30', 'C10', 'C23', 'C87', 'C13', 'C51']	[]	0.0	0.3956679557350071	0.0009419771113243	2009
1	[]	['C60', 'C61', 'C63', 'Y80', 'C62', 'C02', 'C01']	[]	0.0	0.2473863437771797	-0.0044364189961924	2009
2	['G13', 'G12']	['C15', 'C53', 'C13', 'C01', 'C51']	[('C15', 'G13'), ('C15', 'G12'), ('C53', 'G13'), ('C53', 'G12'), ('C13', 'G13'), ('C13', 'G12'), ('C01', 'G13'), ('C01', 'G12'), ('C51', 'G13'), ('C51', 'G12')]	0.5	0.2707989243790507	-0.5682437233626842	2009
3	['G23', 'G11', 'E44', 'G12']	['C52', 'C51', 'C58']	[('C52', 'G23'), ('C52', 'G11'), ('C52', 'E44'), ('C52', 'G12'), ('C51', 'G23'), ('C51', 'G11'), ('C51', 'E44'), ('C51', 'G12'), ('C58', 'G23'), ('C58', 'G11'), ('C58', 'E44'), ('C58', 'G12')]	0.3557835845276713	0.4633653736673295	-0.5319929412798955	2009
4	['Z1', 'Y9', 'P1', 'B5', 'Z0', 'N7']	['Y8']	[('Y8', 'Z1'), ('Y8', 'Y9'), ('Y8', 'P1'), ('Y8', 'B5'), ('Y8', 'Z0'), ('Y8', 'N7')]	0.289051640080288	0.0	-0.0618376075290142	2009
5	['N91', 'Z00', 'Y80', 'N01', 'A23']	['B00', 'B41']	[('B00', 'N91'), ('B00', 'Z00'), ('B00', 'Y80'), ('B00', 'N01'), ('B00', 'A23'), ('B41', 'N91'), ('B41', 'Z00'), ('B41', 'Y80'), ('B41', 'N01'), ('B41', 'A23')]	0.4046296235610498	0.5	-0.5356382752506761	2009
6	['J5', 'J3', 'L5', 'N4', 'L1', 'D2']	['C1']	[('C1', 'J5'), ('C1', 'J3'), ('C1', 'L5'), ('C1', 'N4'), ('C1', 'L1'), ('C1', 'D2')]	0.3842086746008135	0.0	-0.0568698728457092	2009
7	['D21', 'J31', 'O32', 'D43', 'L13', 'L21']	['C72']	[('C72', 'D21'), ('C72', 'J31'), ('C72', 'O32'), ('C72', 'D43'), ('C72', 'L13'), ('C72', 'L21')]	0.3791392141829419	0.0	-0.089263635500174	2009
8	['O16', 'E40', 'G30', 'P33', 'G20', 'F36']	['C80']	[('C80', 'O16'), ('C80', 'E40'), ('C80', 'G30'), ('C80', 'P33'), ('C80', 'G20'), ('C80', 'F36')]	0.3903608889522729	0.0	-0.0136742613540263	2009
9	['H23', 'Q42', 'O38', 'Q48', 'L94']	['C31', 'C25']	[('C31', 'H23'), ('C31', 'Q42'), ('C31', 'O38'), ('C31', 'Q48'), ('C31', 'L94'), ('C25', 'H23'), ('C25', 'Q42'), ('C25', 'O38'), ('C25', 'Q48'), ('C25', 'L94')]	0.3102057694923132	0.5	-0.4459733236581087	2009
10	['R11', 'O40', 'E02', 'O53', 'R58', 'P25']	['C33']	[('C33', 'R11'), ('C33', 'O40'), ('C33', 'E02'), ('C33', 'O53'), ('C33', 'R58'), ('C33', 'P25')]	0.3802889774087816	0.0	-0.0412821434438228	2009
11	['R11', 'M13', 'O18', 'R58', 'O31', 'L26']	['C21']	[('C21', 'R11'), ('C21', 'M13'), ('C21', 'O18'), ('C21', 'R58'), ('C21', 'O31'), ('C21', 'L26')]	0.3652402628213167	0.0	-0.0226935353130102	2009
12	['G41', 'D03', 'B41', 'G02']	['C02', 'C91', 'C63']	[('C02', 'G41'), ('C02', 'D03'), ('C02', 'B41'), ('C02', 'G02'), ('C91', 'G41'), ('C91', 'D03'), ('C91', 'B41'), ('C91', 'G02'), ('C63', 'G41'), ('C63', 'D03'), ('C63', 'B41'), ('C63', 'G02')]	0.370004650671035	0.4879771522246301	-0.3127438068040646	2009
13	['M16', 'O16', 'F23', 'G21', 'E22', 'F36']	['C83']	[('C83', 'M16'), ('C83', 'O16'), ('C83', 'F23'), ('C83', 'G21'), ('C83', 'E22'), ('C83', 'F36')]	0.395050736144185	0.0	-0.0044645579764618	2009
14	['R11', 'O13', 'L11', 'Q13', 'D40']	['C32', 'C51']	[('C32', 'R11'), ('C32', 'O13'), ('C32', 'L11'), ('C32', 'Q13'), ('C32', 'D40'), ('C51', 'R11'), ('C51', 'O13'), ('C51', 'L11'), ('C51', 'Q13'), ('C51', 'D40')]	0.4441108852624893	0.5	-0.4705086813191883	2009
15	['H56', 'P16', 'F59', 'F02', 'F53', 'Y30']	['C79']	[('C79', 'H56'), ('C79', 'P16'), ('C79', 'F59'), ('C79', 'F02'), ('C79', 'F53'), ('C79', 'Y30')]	0.3734310900617856	0.0	-0.0043034957047893	2009
16	['F13', 'I18', 'F60', 'L65', 'K33', 'O34']	['C18']	[('C18', 'F13'), ('C18', 'I18'), ('C18', 'F60'), ('C18', 'L65'), ('C18', 'K33'), ('C18', 'O34')]	0.561862870818004	0.0	-0.0746215928083984	2009
17	['F33', 'P45', 'E44', 'E42', 'F31', 'F36']	['B40']	[('B40', 'F33'), ('B40', 'P45'), ('B40', 'E44'), ('B40', 'E42'), ('B40', 'F31'), ('B40', 'F36')]	0.4035819163509586	0.0	0.0008059133610914	2009
18	['H23', 'Q56', 'O13', 'Q54', 'Q58', 'F18']	['C02']	[('C02', 'H23'), ('C02', 'Q56'), ('C02', 'O13'), ('C02', 'Q54'), ('C02', 'Q58'), ('C02', 'F18')]	0.2440416188910603	0.0	-0.0189386938000097	2009
19	['F40', 'E60', 'O40', 'O50', 'F10']	['C10', 'C01']	[('C10', 'F40'), ('C10', 'E60'), ('C10', 'O40'), ('C10', 'O50'), ('C10', 'F10'), ('C01', 'F40'), ('C01', 'E60'), ('C01', 'O40'), ('C01', 'O50'), ('C01', 'F10')]	0.2937910268083215	0.5	-0.3956480713095516	2009
20	['E23', 'F43', 'O47', 'O40', 'F21']	['C32', 'C10']	[('C32', 'E23'), ('C32', 'F43'), ('C32', 'O47'), ('C32', 'O40'), ('C32', 'F21'), ('C10', 'E23'), ('C10', 'F43'), ('C10', 'O47'), ('C10', 'O40'), ('C10', 'F21')]	0.3110404713079333	0.5	-0.4440547041594981	2009
21	['G11', 'E41', 'O40', 'E13', 'B31']	['C61', 'B22']	[('C61', 'G11'), ('C61', 'E41'), ('C61', 'O40'), ('C61', 'E13'), ('C61', 'B31'), ('B22', 'G11'), ('B22', 'E41'), ('B22', 'O40'), ('B22', 'E13'), ('B22', 'B31')]	0.48569769365713	0.5	-0.5170186013492639	2009
